iter	Passed	Remaining
0	57	57192
1	57	28740
2	57	19246
3	58	14507
4	58	11636
5	58	9728
6	58	8365
7	59	7340
8	59	6547
9	59	5910
10	59	5391
11	60	4955
12	60	4590
13	60	4278
14	61	4006
15	61	3771
16	61	3565
17	61	3377
18	62	3209
19	62	3057
20	62	2920
21	62	2796
22	63	2684
23	63	2581
24	63	2487
25	64	2401
26	64	2319
27	64	2243
28	64	2174
29	65	2108
30	65	2047
31	65	1990
32	66	1936
33	66	1886
34	66	1839
35	67	1794
36	67	1751
37	67	1709
38	67	1669
39	67	1631
40	68	1594
41	68	1559
42	68	1527
43	68	1496
44	69	1467
45	69	1439
46	69	1413
47	69	1387
48	70	1363
49	70	1339
50	70	1316
51	71	1294
52	71	1272
53	71	1252
54	71	1233
55	72	1215
56	72	1197
57	72	1179
58	72	1161
59	73	1145
60	73	1130
61	73	1115
62	74	1101
63	74	1087
64	74	1072
65	74	1058
66	75	1045
67	75	1032
68	75	1020
69	75	1007
70	76	996
71	76	985
72	76	973
73	76	963
74	77	952
75	77	941
76	77	930
77	77	920
78	78	910
79	78	900
80	78	891
81	78	882
82	78	871
83	79	863
84	79	855
85	79	847
86	80	840
87	80	833
88	80	825
89	80	817
90	81	810
91	81	802
92	81	795
93	81	788
94	82	781
95	82	774
96	82	768
97	82	761
98	83	755
99	83	749
100	83	742
101	83	736
102	83	730
103	84	725
104	84	719
105	84	714
106	84	708
107	85	703
108	85	698
109	85	692
110	85	688
111	86	683
112	86	678
113	86	673
114	86	669
115	87	664
116	87	659
117	87	655
118	87	650
119	88	646
120	88	642
121	88	637
122	88	634
123	89	630
124	89	625
125	89	622
126	89	617
127	90	613
128	90	610
129	90	606
130	90	602
131	91	598
132	91	595
133	91	591
134	91	588
135	92	584
136	92	581
137	92	578
138	92	575
139	93	571
140	93	569
141	93	565
142	93	562
143	94	558
144	94	555
145	94	552
146	94	549
147	95	547
148	95	544
149	95	541
150	95	538
151	95	535
152	96	532
153	96	529
154	96	527
155	97	524
156	97	522
157	97	519
158	97	516
159	97	514
160	98	511
161	98	508
162	98	506
163	98	504
164	99	501
165	99	499
166	99	496
167	99	494
168	100	492
169	100	489
170	100	487
171	100	485
172	101	483
173	101	480
174	101	478
175	101	476
176	102	474
177	102	472
178	102	469
179	102	467
180	102	465
181	103	463
182	103	461
183	103	459
184	103	457
185	104	455
186	104	453
187	104	452
188	104	450
